id,name,code,country,founded,national,logo,stadium_id,stadium_name,stadium_address,stadium_city,stadium_capacity,stadium_surface,stadium_image
119,Internacional,INT,Brazil,1909,False,https://media.api-sports.io/football/teams/119.png,244,Estádio José Pinheiro Borda,"Avenida Padre Cacique 891, Bairro Menino Deus","Porto Alegre, Rio Grande do Sul",50128,grass,https://media.api-sports.io/football/venues/244.png
120,Botafogo,BOT,Brazil,1904,False,https://media.api-sports.io/football/teams/120.png,218,Estádio Nilton Santos,"Rua Arquias Cordeiro, Engenho de Dentro",Rio de Janeiro,46931,grass,https://media.api-sports.io/football/venues/218.png
121,Palmeiras,PAL,Brazil,1914,False,https://media.api-sports.io/football/teams/121.png,258,Allianz Parque,"Rua Turiaçu 1840, Perdizes","São Paulo, São Paulo",43713,grass,https://media.api-sports.io/football/venues/258.png
124,Fluminense,FLU,Brazil,1902,False,https://media.api-sports.io/football/teams/124.png,204,Estadio Jornalista Mário Filho (Maracanã),"Rua Professor Eurico Rabelo, Maracanã","Rio de Janeiro, Rio de Janeiro",78838,grass,https://media.api-sports.io/football/venues/204.png
125,America Mineiro,AME,Brazil,1912,False,https://media.api-sports.io/football/teams/125.png,206,Estádio Raimundo Sampaio,"Avenida Ismênia Tunes, Bairro Horto","Belo Horizonte, Minas Gerais",23018,grass,https://media.api-sports.io/football/venues/206.png
126,Sao Paulo,PAU,Brazil,1930,False,https://media.api-sports.io/football/teams/126.png,269,Estádio Cícero Pompeu de Toledo (Morumbi),"Praca Roberto Gomes Pedrosa 1, Morumbi","São Paulo, São Paulo",66795,grass,https://media.api-sports.io/football/venues/269.png
127,Flamengo,FLA,Brazil,1895,False,https://media.api-sports.io/football/teams/127.png,204,Estadio Jornalista Mário Filho (Maracanã),"Rua Professor Eurico Rabelo, Maracanã","Rio de Janeiro, Rio de Janeiro",78838,grass,https://media.api-sports.io/football/venues/204.png
128,Santos,SAN,Brazil,1912,False,https://media.api-sports.io/football/teams/128.png,10494,Estádio Urbano Caldeira,"Rue Princesa Isabel 77, Vila Belmiro","Santos, São Paulo",21256,grass,https://media.api-sports.io/football/venues/10494.png
129,Ceara,CEA,Brazil,1914,False,https://media.api-sports.io/football/teams/129.png,225,Estádio Governador Plácido Aderaldo Castelo,"Avenida Alberto Craveiro, Passaré","Fortaleza, Ceará",63903,grass,https://media.api-sports.io/football/venues/225.png
131,Corinthians,COR,Brazil,1910,False,https://media.api-sports.io/football/teams/131.png,11531,Neo Química Arena,"Avenida Miguel Inácio Curi, 111, Vila Carmosina, Itaquera","São Paulo, São Paulo",49205,grass,https://media.api-sports.io/football/venues/11531.png
134,Atletico Paranaense,ATL,Brazil,1924,False,https://media.api-sports.io/football/teams/134.png,10493,Arena da Baixada,"Rua Buenos Aires 1260, Água Verde","Curitiba, Paraná",43981,grass,https://media.api-sports.io/football/venues/10493.png
144,Atletico Goianiense,ATL,Brazil,1937,False,https://media.api-sports.io/football/teams/144.png,211,Estádio Antônio Accioly,"Avenida Perimetral 923 / Avenida 24 de Outubro, Bairro Campinas","Goiânia, Goiás",12500,grass,https://media.api-sports.io/football/venues/211.png
145,Avai,AVA,Brazil,1923,False,https://media.api-sports.io/football/teams/145.png,214,Estádio Aderbal Ramos da Silva,"Avenida Deputado Diomício Freitas 1000, Bairro Carianos","Florianópolis, Santa Catarina",19000,grass,https://media.api-sports.io/football/venues/214.png
147,Coritiba,COR,Brazil,1909,False,https://media.api-sports.io/football/teams/147.png,230,Estádio Major Antônio Couto Pereira,"Rua Ubaldino do Amaral 37, Bairro Alto da Glória","Curitiba, Paraná",45563,grass,https://media.api-sports.io/football/venues/230.png
151,Goias,GOI,Brazil,1943,False,https://media.api-sports.io/football/teams/151.png,240,Estádio de Hailé Pinheiro,"Avenida Edmundo Pinheiro de Abreu 721, Setor Bela Vista","Goiânia, Goiás",14525,grass,https://media.api-sports.io/football/venues/240.png
152,Juventude,JUV,Brazil,1913,False,https://media.api-sports.io/football/teams/152.png,248,Estádio Alfredo Jaconi,Rua Hércules Galló 1547,"Caxias do Sul, Rio Grande do Sul",19924,grass,https://media.api-sports.io/football/venues/248.png
154,Fortaleza EC,FOR,Brazil,1918,False,https://media.api-sports.io/football/teams/154.png,225,Estádio Governador Plácido Aderaldo Castelo,"Avenida Alberto Craveiro, Passaré","Fortaleza, Ceará",63903,grass,https://media.api-sports.io/football/venues/225.png
794,RB Bragantino,BRA,Brazil,1928,False,https://media.api-sports.io/football/teams/794.png,220,Estádio Nabi Abi Chedid,Rua Emílio Coleta,"Bragança Paulista, São Paulo",17128,grass,https://media.api-sports.io/football/venues/220.png
1062,Atletico-MG,ATL,Brazil,1908,False,https://media.api-sports.io/football/teams/1062.png,206,Estádio Raimundo Sampaio,"Avenida Ismênia Tunes, Bairro Horto","Belo Horizonte, Minas Gerais",23018,grass,https://media.api-sports.io/football/venues/206.png
1193,Cuiaba,CUI,Brazil,2001,False,https://media.api-sports.io/football/teams/1193.png,235,Arena Pantanal,,"Cuiabá, Mato Grosso",44003,grass,https://media.api-sports.io/football/venues/235.png
