team.id,team.name,team.code,team.country,team.founded,team.national,team.logo,venue.id,venue.name,venue.address,venue.city,venue.capacity,venue.surface,venue.image
1,Belgium,BEL,Belgium,1895,True,https://media.api-sports.io/football/teams/1.png,173,Stade Roi Baudouin,"Avenue de Marathon 135/2, Laken",Brussel,50093,grass,https://media.api-sports.io/football/venues/173.png
2,France,FRA,France,1919,True,https://media.api-sports.io/football/teams/2.png,20332,Stade de France,Rue Jules Rimet,Saint-Denis,81338,grass,https://media.api-sports.io/football/venues/20332.png
3,Croatia,CRO,Croatia,1912,True,https://media.api-sports.io/football/teams/3.png,412,Stadion Maksimir,Maksimirska cesta 128,Zagreb,37168,grass,https://media.api-sports.io/football/venues/412.png
6,Brazil,BRA,Brazil,1914,True,https://media.api-sports.io/football/teams/6.png,204,Estadio Jornalista Mário Filho (Maracanã),"Rua Professor Eurico Rabelo, Maracanã","Rio de Janeiro, Rio de Janeiro",78838,grass,https://media.api-sports.io/football/venues/204.png
7,Uruguay,URU,Uruguay,1900,True,https://media.api-sports.io/football/teams/7.png,1624,Estadio Centenario,"Avenida Dr. Alfredo Navarro y Dr. Américo Ricaldoni, Parque Batlle",Montevideo,60235,grass,https://media.api-sports.io/football/venues/1624.png
9,Spain,SPA,Spain,1913,True,https://media.api-sports.io/football/teams/9.png,1456,Estadio Santiago Bernabéu,"Avenida de Concha Espina 1, Chamartín",Madrid,85454,grass,https://media.api-sports.io/football/venues/1456.png
10,England,ENG,England,1863,True,https://media.api-sports.io/football/teams/10.png,489,Wembley Stadium,"Stadium Way, Wembley, Brent",London,90000,grass,https://media.api-sports.io/football/venues/489.png
12,Japan,JAP,Japan,1921,True,https://media.api-sports.io/football/teams/12.png,951,National Olympic Stadium,"10-2, Kasumigaoka-machi, Shinjuku",Tokyo,57363,grass,https://media.api-sports.io/football/venues/951.png
13,Senegal,SEN,Senegal,1960,True,https://media.api-sports.io/football/teams/13.png,1405,Stade Léopold Sédar Senghor,Route de l’Aéroport de Yoff,Dakar,80000,grass,https://media.api-sports.io/football/venues/1405.png
14,Serbia,SER,Serbia,1919,True,https://media.api-sports.io/football/teams/14.png,1406,Stadion Rajko Mitić,Ljutice Bogdana 1a,Beograd,51862,grass,https://media.api-sports.io/football/venues/1406.png
15,Switzerland,SWI,Switzerland,1895,True,https://media.api-sports.io/football/teams/15.png,1530,St. Jakob-Park,Sankt Jakob-Strasse 395,Basel,38512,grass,https://media.api-sports.io/football/venues/1530.png
16,Mexico,MEX,Mexico,1927,True,https://media.api-sports.io/football/teams/16.png,1069,Estadio Azteca,"Calzada de Tlalpan 3665, Coyoacán",D.F.,106187,grass,https://media.api-sports.io/football/venues/1069.png
17,South Korea,SOU,South-Korea,1933,True,https://media.api-sports.io/football/teams/17.png,1002,Seoul World Cup Stadium,"515 Seongsan-dong, Mapo-gu, Sangam",Seoul,68476,grass,https://media.api-sports.io/football/venues/1002.png
20,Australia,AUS,Australia,1961,True,https://media.api-sports.io/football/teams/20.png,20322,Accor Stadium,Edwin Flack Avenue,Sydney,83600,grass,https://media.api-sports.io/football/venues/20322.png
21,Denmark,DEN,Denmark,1889,True,https://media.api-sports.io/football/teams/21.png,11600,Parken,Øster Allé 50,København,38065,grass,https://media.api-sports.io/football/venues/11600.png
22,Iran,IRA,Iran,1920,True,https://media.api-sports.io/football/teams/22.png,845,Azadi Stadium,Azadi Stadium Boulevard,Teheran,100000,grass,https://media.api-sports.io/football/venues/845.png
23,Saudi Arabia,SAU,Saudi-Arabia,1956,True,https://media.api-sports.io/football/teams/23.png,1361,King Fahd International Stadium,Al-Amir Bandar Ibn Abdul Aziz Street,Riyadh,68752,grass,https://media.api-sports.io/football/venues/1361.png
24,Poland,POL,Poland,1919,True,https://media.api-sports.io/football/teams/24.png,1245,Stadion Narodowy,Aleja Księcia J. Poniatowskiego 1,Warszawa,58145,grass,https://media.api-sports.io/football/venues/1245.png
25,Germany,GER,Germany,1900,True,https://media.api-sports.io/football/teams/25.png,694,Olympiastadion Berlin,Olympischer Platz 3,Berlin,74667,grass,https://media.api-sports.io/football/venues/694.png
26,Argentina,ARG,Argentina,1893,True,https://media.api-sports.io/football/teams/26.png,19570,Estadio Mâs Monumental,"Avenida Presidente José Figueroa Alcorta 7597, Núñez","Capital Federal, Ciudad de Buenos Aires",83214,grass,https://media.api-sports.io/football/venues/19570.png
27,Portugal,POR,Portugal,1914,True,https://media.api-sports.io/football/teams/27.png,1262,Estádio Nacional,,"Jamor, Oeiras",38000,grass,https://media.api-sports.io/football/venues/1262.png
28,Tunisia,TUN,Tunisia,1957,True,https://media.api-sports.io/football/teams/28.png,19755,Stade Olympique Hammadi Agrebi,Cité Olympique du 7 novembre,Radès,65000,grass,https://media.api-sports.io/football/venues/19755.png
29,Costa Rica,COS,Costa-Rica,1921,True,https://media.api-sports.io/football/teams/29.png,392,Estadio Nacional de Costa Rica,"Avenida Las Americas, La Sabana",San José,35100,grass,https://media.api-sports.io/football/venues/392.png
31,Morocco,MOR,Morocco,1955,True,https://media.api-sports.io/football/teams/31.png,1099,Stade Mohamed V,"Rue Ali Abderrazak, Bouskoura, Maarif",Casablanca,45891,grass,https://media.api-sports.io/football/venues/1099.png
767,Wales,WAL,Wales,1876,True,https://media.api-sports.io/football/teams/767.png,1969,Principality Stadium,Westgate Street,Caerdydd,74500,grass,https://media.api-sports.io/football/venues/1969.png
1118,Netherlands,NET,Netherlands,1889,True,https://media.api-sports.io/football/teams/1118.png,1117,Johan Cruijff Arena,ArenA Boulevard 1,Amsterdam,54990,grass,https://media.api-sports.io/football/venues/1117.png
1504,Ghana,GHA,Ghana,1957,True,https://media.api-sports.io/football/teams/1504.png,759,Ohene Djan Sports Stadium,Malam Awudu Road,Accra,35000,grass,https://media.api-sports.io/football/venues/759.png
1530,Cameroon,CAM,Cameroon,1959,True,https://media.api-sports.io/football/teams/1530.png,308,Stade Omnisport Ahmadou Ahidjo,,Yaoundé,38509,grass,https://media.api-sports.io/football/venues/308.png
1569,Qatar,QAT,Qatar,1960,True,https://media.api-sports.io/football/teams/1569.png,19746,Khalifa International Stadium,Al Waab Street,Ar-Rayyan,45857,grass,https://media.api-sports.io/football/venues/19746.png
2382,Ecuador,ECU,Ecuador,1925,True,https://media.api-sports.io/football/teams/2382.png,465,Estadio Olímpico Atahualpa,Avenida 6 de Diciembre y Avenida Naciones Unidas,Quito,40958,grass,https://media.api-sports.io/football/venues/465.png
2384,USA,USA,USA,1913,True,https://media.api-sports.io/football/teams/2384.png,2855,Robert F. Kennedy Memorial Stadium,2400 East Capitol Street Southeast,"Washington, District of Columbia",56692,grass,https://media.api-sports.io/football/venues/2855.png
5529,Canada,CAN,Canada,1912,True,https://media.api-sports.io/football/teams/5529.png,312,BMO Field,170 Princes’ Boulevard,"Toronto, Ontario",36045,grass,https://media.api-sports.io/football/venues/312.png
